iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2/1/2022,4105.767,15.79,186.191,0.075,,,,tests performed,,,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/2/2022,4121.708,15.941,186.216,0.025,,,,tests performed,11.49,9.82,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/3/2022,4135.188,13.48,186.266,0.05,,,,tests performed,,,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/4/2022,4151.029,15.84,186.266,0,,,,tests performed,,,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/5/2022,4159.89,8.861,186.392,0.126,0.033,0.4855,2.1,tests performed,,,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/6/2022,4171.94,12.05,186.568,0.176,0.033,0.448,2.2,tests performed,,,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,2/7/2022,4190.34,18.401,186.819,0.251,0.033,0.439,2.3,tests performed,11.63,9.94,,19.44,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
ALB,Europe,Albania,2/1/2022,89992.67,0,1164.663,0,0.794,0.6065,1.6,tests performed,43.53,40.26,7.15,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/2/2022,90931.431,938.762,1170.232,5.569,0.841,0.6046,1.7,tests performed,,,,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/3/2022,90931.431,0,1170.232,0,0.739,0.5827,1.7,tests performed,,,,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/4/2022,91603.914,672.483,1173.365,3.133,0.72,0.6246,1.6,tests performed,,,,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/5/2022,91603.914,0,1173.365,0,0.701,0.6413,1.6,tests performed,,,,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/6/2022,92109.321,505.407,1176.498,3.133,0.682,0.6474,1.5,tests performed,43.7,40.62,7.38,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2/7/2022,92196.688,87.367,1178.934,2.437,0.568,0.5539,1.8,tests performed,43.73,40.71,7.44,61.11,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,2/1/2022,5682.187,31.446,147.77,0.314,,,,,,,,65.74,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/2/2022,5712.781,30.594,148.017,0.247,,,,,,,,65.74,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/3/2022,5734.096,21.315,148.33,0.314,,,,,,,,65.74,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/4/2022,5755.836,21.741,148.622,0.291,,,,,,,,65.74,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/5/2022,5773.588,17.751,148.823,0.202,,,,,,,,65.74,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/6/2022,5782.06,8.472,148.958,0.134,,,,,,,,58.33,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
DZA,Africa,Algeria,2/7/2022,5793.311,11.251,149.137,0.179,,,,,16.59,13.94,0.74,58.33,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AND,Europe,Andorra,2/1/2022,464849.911,0,1874.499,0,3.335,0.696,1.4,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/2/2022,469465.057,4615.146,1887.427,12.928,3.167,0.7504,1.3,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/3/2022,471468.832,2003.775,1900.354,12.928,3.012,0.8841,1.1,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/4/2022,473136.489,1667.658,1900.354,0,2.844,0.6773,1.5,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/5/2022,473136.489,0,1900.354,0,2.689,0.7163,1.4,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/6/2022,473136.489,0,1900.354,0,2.521,0.7641,1.3,tests performed,74.71,68.79,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AND,Europe,Andorra,2/7/2022,475838.354,2701.864,1900.354,0,2.366,0.6635,1.5,tests performed,,,,35.19,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868
AGO,Africa,Angola,2/1/2022,2894.652,3.242,55.844,0,0.064,0.0415,24.1,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/2/2022,2895.86,1.208,55.844,0,0.073,0.0263,38,tests performed,29.47,14.38,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/3/2022,2897.393,1.532,55.874,0.029,0.081,0.0217,46.2,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/4/2022,2898.012,0.619,55.874,0,0.082,0.0161,62.3,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/5/2022,2898.336,0.324,55.874,0,0.082,0.0151,66.2,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/6/2022,2898.719,0.383,55.874,0,0.082,0.0147,67.8,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2/7/2022,2900.045,1.326,55.874,0,0.071,0.0174,57.4,tests performed,,,,70.37,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
ATG,North America,Antigua and Barbuda,2/1/2022,67123.815,0,1286.363,0,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/2/2022,68187.343,1063.528,1286.363,0,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/3/2022,68187.343,0,1286.363,0,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/4/2022,68187.343,0,1286.363,0,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/5/2022,68187.343,0,1286.363,0,,,,,64.06,61.27,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/6/2022,69412.933,1225.589,1326.878,40.515,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ATG,North America,Antigua and Barbuda,2/7/2022,69412.933,0,1326.878,0,,,,,,,,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,2/1/2022,184796.095,1077.099,2664.419,5.262,1.802,0.44,2.3,tests performed,88.21,77.72,29.97,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/2/2022,185784.346,988.251,2671.457,7.039,1.676,0.411,2.4,tests performed,88.28,77.85,30.46,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/3/2022,186714.863,930.517,2678.43,6.973,1.522,0.395,2.5,tests performed,88.35,77.98,30.89,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/4/2022,187594.005,879.142,2684.723,6.293,1.42,0.375,2.7,tests performed,88.42,78.11,31.39,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/5/2022,188072.804,478.799,2687.902,3.179,1.357,0.366,2.7,tests performed,88.45,78.16,31.61,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/6/2022,188350.488,277.684,2690.095,2.193,1.308,0.36,2.8,tests performed,88.46,78.19,31.76,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARG,South America,Argentina,2/7/2022,188907.566,557.078,2695.774,5.679,1.203,0.334,3,tests performed,88.53,78.33,32.19,49.07,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
ARM,Asia,Armenia,2/1/2022,124968.33,1053.526,2714.169,1.011,2.482,0.373,2.7,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/2/2022,126301.157,1332.827,2715.516,1.348,2.588,0.391,2.6,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/3/2022,127779.53,1478.373,2717.201,1.685,2.595,0.403,2.5,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/4/2022,129191.868,1412.338,2720.57,3.369,2.668,0.417,2.4,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/5/2022,130550.3,1358.432,2722.591,2.021,2.703,0.419,2.4,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/6/2022,131381.463,831.164,2724.276,1.685,2.71,0.423,2.4,tests performed,35.52,28.94,0.42,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
ARM,Asia,Armenia,2/7/2022,131930.968,549.505,2727.982,3.706,2.658,0.419,2.4,tests performed,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
AUS,Oceania,Australia,2/1/2022,101617.417,1556.757,151.426,2.714,4.726,0.151,6.6,tests performed,84.19,78.44,31.77,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/2/2022,102556.916,939.499,154.605,3.18,4.553,0.159,6.3,tests performed,84.3,78.5,32.65,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/3/2022,103804.734,1247.818,157.94,3.335,4.385,0.161,6.2,tests performed,84.39,78.56,33.47,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/4/2022,104864.753,1060.019,161.081,3.141,4.371,0.134,7.5,tests performed,84.49,78.62,34.27,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/5/2022,105756.051,891.299,162.865,1.784,4.197,0.119,8.4,tests performed,84.55,78.65,34.67,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/6/2022,106735.064,979.013,164.726,1.861,4.025,0.125,8,tests performed,84.59,78.67,34.89,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUS,Oceania,Australia,2/7/2022,107796.518,1061.454,166.82,2.094,3.933,0.108,9.3,tests performed,84.66,78.72,35.61,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944
AUT,Europe,Austria,2/1/2022,205871.08,2886.74,1904.552,1.769,82.511,0.0435,23,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/2/2022,208937.516,3066.436,1905.989,1.438,89.348,0.0403,24.8,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/3/2022,213800.686,4863.17,1907.759,1.769,80.275,0.046,21.7,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/4/2022,217520.882,3720.196,1910.081,2.322,78.618,0.0466,21.5,tests performed,75.1,72.11,54.08,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/5/2022,221595.604,4074.722,1912.735,2.654,78.267,0.0466,21.5,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/6/2022,225266.923,3671.319,1914.615,1.88,79.319,0.0459,21.8,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AUT,Europe,Austria,2/7/2022,228582.168,3315.245,1917.379,2.765,81.295,0.045,22.2,tests performed,,,,61.11,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
AZE,Asia,Azerbaijan,2/1/2022,64919.365,510.89,856.373,2.054,1.256,0.2975,3.4,tests performed,51.19,46.4,20.17,79.63,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
AZE,Asia,Azerbaijan,2/2/2022,65566.903,647.538,858.721,2.348,1.35,0.3122,3.2,tests performed,51.22,46.41,20.48,79.63,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
AZE,Asia,Azerbaijan,2/3/2022,66164.848,597.945,860.482,1.761,1.237,0.3718,2.7,tests performed,51.25,46.43,20.81,79.63,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
AZE,Asia,Azerbaijan,2/4/2022,66854.446,689.598,863.025,2.543,1.373,0.3705,2.7,tests performed,51.28,46.45,21.11,79.63,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
