iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ABW,North America,Aruba,2022-02-01,33084.0,84.0,80.0,193.0,0.0,0.0,308633.798,783.619,746.303,1800.457,0.0,0.0,,,,,,,,,,,,,,,,,,,166531.0,86667.0,79864.0,,91.0,59.0,155.35,80.85,74.5,,550.0,32.0,0.03,32.41,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
ABW,North America,Aruba,2022-03-01,33684.0,0.0,7.571,211.0,0.0,0.0,314231.074,0.0,70.632,1968.375,0.0,0.0,,,,,,,,,,,,,,,,,,,167903.0,87419.0,80484.0,,,32.0,156.63,81.55,75.08,,299.0,15.0,0.014,28.7,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
AFG,Asia,Afghanistan,2022-02-01,163555.0,629.0,471.857,7417.0,3.0,2.857,4105.767,15.79,11.845,186.191,0.075,0.072,1.5,,,,,,,,,,,,,,,,,tests performed,,,,,,11228.0,,,,,282.0,9606.0,0.024,19.44,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AFG,Asia,Afghanistan,2022-03-01,173879.0,220.0,166.143,7609.0,11.0,5.714,4364.934,5.523,4.171,191.011,0.276,0.143,0.86,,,,,,,,,,,,,1191.0,0.03,0.1395,7.2,tests performed,,,,,,15071.0,,,,,378.0,12634.0,0.032,19.44,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
AGO,Africa,Angola,2022-02-01,98226.0,110.0,90.286,1895.0,0.0,0.571,2894.652,3.242,2.661,55.844,0.0,0.017,0.31,,,,,,,,,,,,,2178.0,0.064,0.0415,24.1,tests performed,,,,,,106738.0,,,,,3145.0,69223.0,0.204,70.37,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AGO,Africa,Angola,2022-03-01,98746.0,5.0,10.714,1900.0,0.0,0.143,2909.976,0.147,0.316,55.992,0.0,0.004,0.78,,,,,,,,,,,,,1858.0,0.055,0.0058,173.4,tests performed,,,,,,46695.0,,,,,1376.0,23708.0,0.07,65.74,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-02-01,2361.0,37.0,13.0,8.0,0.0,0.143,156099.174,2446.281,859.504,528.926,0.0,9.445,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1983.0,3.0,0.02,,15125.0,,,,,,,,,,,,,81.88,,,,,
AIA,North America,Anguilla,2022-03-01,2555.0,0.0,7.0,9.0,0.0,0.0,168925.62,0.0,462.81,595.041,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,2314.0,16.0,0.106,,15125.0,,,,,,,,,,,,,81.88,,,,,
ALB,Europe,Albania,2022-02-01,258543.0,0.0,1383.429,3346.0,0.0,4.857,89992.67,0.0,481.539,1164.663,0.0,1.691,0.85,,,,,,,,,,,,,2281.0,0.794,0.6065,1.6,tests performed,2612804.0,1250672.0,1156751.0,205381.0,,16639.0,90.95,43.53,40.26,7.15,5792.0,6816.0,0.237,61.11,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
ALB,Europe,Albania,2022-03-01,271702.0,139.0,178.143,3472.0,3.0,3.0,94573.004,48.383,62.007,1208.521,1.044,1.044,0.53,,,,,,,,,,,,,265.0,0.092,0.6722,1.5,tests performed,2708574.0,1270745.0,1198759.0,239070.0,,2779.0,94.28,44.23,41.73,8.32,967.0,533.0,0.019,46.3,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
AND,Europe,Andorra,2022-02-01,35958.0,0.0,179.571,145.0,0.0,0.0,464849.911,0.0,2321.424,1874.499,0.0,0.0,0.72,,,,,,,,,,,,,258.0,3.335,0.696,1.4,tests performed,,,,,,126.0,,,,,1629.0,6.0,0.008,35.19,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AND,Europe,Andorra,2022-03-01,38165.0,166.0,49.286,151.0,0.0,0.0,493381.079,2145.978,637.145,1952.065,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,440.0,1.0,0.001,23.15,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
ARE,Asia,United Arab Emirates,2022-02-01,847142.0,2084.0,2330.0,2248.0,5.0,3.429,84789.807,208.586,233.208,225.001,0.5,0.343,0.87,,,,,,,,,125631400.0,499836.0,12574.353,50.028,493662.0,49.41,0.0047,211.9,tests performed,,,,,,30792.0,,,,,3082.0,69.0,0.001,44.44,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
ARE,Asia,United Arab Emirates,2022-03-01,880451.0,478.0,652.429,2301.0,0.0,0.571,88123.68,47.843,65.301,230.305,0.0,0.057,0.69,,,,,,,,,138136824.0,420289.0,13826.011,42.066,443610.0,44.401,0.0015,679.9,tests performed,24144931.0,,9485085.0,,25870.0,17674.0,241.66,,94.94,,1769.0,69.0,0.001,35.19,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
ARG,South America,Argentina,2022-02-01,8427778.0,49122.0,55179.714,121513.0,240.0,258.571,184796.095,1077.099,1209.927,2664.419,5.262,5.67,0.6,2864.0,62.799,,,,,,,33460048.0,80559.0,733.679,1.766,82203.0,1.802,0.44,2.3,tests performed,89074171.0,40227761.0,35447046.0,13666782.0,340697.0,284988.0,195.31,88.21,77.72,29.97,6249.0,32137.0,0.07,49.07,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARG,South America,Argentina,2022-03-01,8904176.0,3520.0,6936.0,126257.0,105.0,91.286,195242.086,77.183,152.086,2768.44,2.302,2.002,0.57,1136.0,24.909,,,,,,,34596859.0,21327.0,758.606,0.468,29663.0,0.65,0.086,11.6,tests performed,94200641.0,40780682.0,36560398.0,17155143.0,43839.0,111392.0,206.55,89.42,80.17,37.62,2442.0,11628.0,0.025,49.07,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-02-01,370922.0,3127.0,2455.857,8056.0,3.0,3.429,124968.33,1053.526,827.409,2714.169,1.011,1.155,1.75,,,,,,,,,2745627.0,9658.0,925.037,3.254,7368.0,2.482,0.373,2.7,tests performed,,,,,,7642.0,,,,,2575.0,4197.0,0.141,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ARM,Asia,Armenia,2022-03-01,420156.0,324.0,520.857,8478.0,17.0,17.714,141555.89,109.16,175.483,2856.346,5.728,5.968,0.37,,,,,,,,,2903775.0,4020.0,978.319,1.354,3924.0,1.322,0.111,9.0,tests performed,,,,,,6020.0,,,,,2028.0,1296.0,0.044,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ATG,North America,Antigua and Barbuda,2022-02-01,6627.0,0.0,86.286,127.0,0.0,0.714,67123.815,0.0,873.974,1286.363,0.0,7.235,0.8,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,304.0,9.0,0.009,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ATG,North America,Antigua and Barbuda,2022-03-01,7447.0,10.0,5.571,135.0,0.0,0.0,75429.463,101.288,56.432,1367.393,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,125031.0,63704.0,61327.0,,305.0,65.0,126.64,64.52,62.12,,658.0,24.0,0.024,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
